2014-03-01,0,27,750,
2014-03-01,1,27,500,
2014-03-01,2,28,500,
2014-03-01,3,27,500,
2014-03-01,4,27,750,
2014-03-01,5,28,750,
2014-03-01,6,28,1000,
2014-03-01,7,30,1000,
2014-03-01,8,32,1000,
2014-03-01,9,35,1000,
2014-03-01,10,39,1000,
2014-03-01,11,42,1000,
2014-03-01,12,45,1000,
2014-03-01,13,49,750,
2014-03-01,14,48,1000,
2014-03-01,15,48,1000,
2014-03-01,16,48,1000,
2014-03-01,17,47,1000,
2014-03-01,18,46,1000,
2014-03-01,19,45,1000,
2014-03-01,20,43,1000,
2014-03-01,21,44,1000,
2014-03-01,22,37,1000,
2014-03-01,23,36,1000,
2014-03-02,0,34,1000,
2014-03-02,1,32,1000,
2014-03-02,2,32,1000,
2014-03-02,3,31,1000,
2014-03-02,4,30,1000,
2014-03-02,5,29,1000,
2014-03-02,6,27,1000,2
2014-03-02,7,26,0,4
2014-03-02,8,24,1000,4
2014-03-02,9,24,1000,2
2014-03-02,10,23,0,5
2014-03-02,11,23,1000,4
2014-03-02,12,24,1000,1
2014-03-02,13,25,1000,
2014-03-02,14,26,1000,
2014-03-02,15,25,1000,
2014-03-02,16,24,1000,
2014-03-02,17,22,1000,
2014-03-02,18,21,1000,
2014-03-02,19,20,1000,
2014-03-02,20,18,1000,
2014-03-02,21,18,1000,
2014-03-02,22,17,1000,
2014-03-02,23,17,1000,
2014-03-03,0,16,1000,
2014-03-03,1,15,1000,
2014-03-03,2,15,1000,
2014-03-03,3,14,1000,
2014-03-03,4,13,1000,
2014-03-03,5,13,1000,
2014-03-03,6,12,1000,
2014-03-03,7,12,750,
2014-03-03,8,13,1000,
2014-03-03,9,14,750,
2014-03-03,10,16,750,
2014-03-03,11,17,750,
2014-03-03,12,18,750,
2014-03-03,13,20,500,
2014-03-03,14,20,500,
2014-03-03,15,20,250,
2014-03-03,16,19,0,
2014-03-03,17,17,0,
2014-03-03,18,15,0,
2014-03-03,19,12,0,
2014-03-03,20,11,0,
2014-03-03,21,9,0,
2014-03-03,22,8,0,
2014-03-03,23,8,500,
2014-03-04,0,8,250,
2014-03-04,1,9,0,
2014-03-04,2,8,0,
2014-03-04,3,8,250,
2014-03-04,4,9,0,
2014-03-04,5,10,500,
2014-03-04,6,11,1000,
2014-03-04,7,11,500,
2014-03-04,8,14,500,
2014-03-04,9,17,500,
2014-03-04,10,21,500,
2014-03-04,11,25,500,
2014-03-04,12,27,500,
2014-03-04,13,28,500,
